fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-03-05,05/03/2026,oferta_demanda,Dólar de N.A.,,3.424,3.432,,,
2026-03-05,05/03/2026,oferta_demanda,Dólar Canadiense,,2.499,2.527,,,
2026-03-05,05/03/2026,oferta_demanda,Libra Esterlina,,4.25,4.629,,,
2026-03-05,05/03/2026,oferta_demanda,Yen Japonés,,0.022,0.022,,,
2026-03-05,05/03/2026,oferta_demanda,Peso Mexicano,,0.193,0.203,,,
2026-03-05,05/03/2026,oferta_demanda,Franco Suizo,,3.787,4.8,,,
2026-03-05,05/03/2026,oferta_demanda,Euro,,3.695,4.195,,,
2026-03-05,05/03/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-03-05,05/03/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-03-05,05/03/2026,mercado_profesional,Dólar de N.A.,,,,3.4353,,
