pais,moneda,tc
Argentina,Peso Argentino,0.002411
Australia,Dólar Australiano,2.398056
"Bolivia, Estado Plurinacional de",Boliviano,0.496248
Brasil,Real,0.64713
Bulgaria,Lev,2.022332
Canadá,Dólar Canadiense,2.491221
Chile,Peso Chileno,0.003766
China,Yuan,0.492281
China,Yuan Chino Off-Shore,0.492295
Colombia,Peso Colombiano,0.000896
"Corea, República de (Sur)",Won Surcoreano,0.002292
Costa Rica,Colón de Costa Rica,0.007266
Ecuador,Dólar de N.A.,3.405
Emiratos Árabes Unidos,Dirham,0.927035
Estados Unidos de América,Dólar de N.A.,3.405
Federación Rusa (Rusia),Rublo,0.044122
Filipinas,Peso de Filipinas,0.058294
Georgia,Lari Georgiano,1.275234
Guatemala,Quetzal,0.444458
Hong Kong,Dólar de Hong Kong,0.436249
India,Rupia de la India,0.037227
Indonesia,Rupia de Indonesia,0.000201
Japón,Yen Japonés,0.021601
Malasia,Dólar Malasio o Ringgit,0.863338
México,Peso Mexicano,0.193067
Namibia,Dólar Namibio,0.206285
Nigeria,Naira Nigeriana,0.002462
Noruega,Corona Noruega,0.351658
Panamá,Balboa,3.405
Paraguay,Guaraní,0.000521
Polonia,Zloty Polaco,0.92204
Reino Unido,Libra Esterlina,4.547275
República Dominicana,Peso de República Dominicana,0.057357
Singapur,Dólar de Singapur,2.666404
Suecia,Corona Sueca,0.367508
Suiza,Franco Suizo,4.354777
Tailandia,Baht,0.107945
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.1077
Turquía,Lira,0.077457
Unión,Europea Euro,3.955623
Uruguay,Peso Uruguayo,0.087308
Vietnam,Dong,0.000129
